target,position,direction,peak_layer,confidence_change,logit_diff_change,token_changed_rate
triviaqa/confidence/correctness,CC,high,22,0.0708,0.8064,0.125
triviaqa/confidence/correctness,CC,low,22,-0.05,-1.3064,0.417
triviaqa/confidence/correctness,FCC,high,11,0.0042,-0.0211,0.042
triviaqa/confidence/correctness,FCC,low,22,-0.0042,-0.0161,0.042
triviaqa/confidence/correctness,PANL,high,16,0.0271,-0.2938,0.104
triviaqa/confidence/correctness,PANL,low,16,-0.0187,-0.0596,0.188
triviaqa/confidence/correctness,PANL+1,high,0,-0.0042,-0.0744,0.042
triviaqa/confidence/correctness,PANL+1,low,5,-0.0042,0.0093,0.042
triviaqa/confidence/answer_logit,CC,high,22,0.0687,0.6703,0.125
triviaqa/confidence/answer_logit,CC,low,22,-0.0437,-1.2283,0.312
triviaqa/confidence/answer_logit,FCC,high,0,0.0021,-0.0234,0.062
triviaqa/confidence/answer_logit,FCC,low,5,0.0042,0.0276,0.042
triviaqa/confidence/answer_logit,PANL,high,16,0.025,-0.2717,0.125
triviaqa/confidence/answer_logit,PANL,low,16,-0.0187,-0.0984,0.188
triviaqa/confidence/answer_logit,PANL+1,high,0,-0.0083,-0.0891,0.083
triviaqa/confidence/answer_logit,PANL+1,low,16,-0.0042,-0.0315,0.042
triviaqa/confidence/binary_entropy,CC,high,22,0.1292,-0.4307,0.208
triviaqa/confidence/binary_entropy,CC,low,22,-0.0062,-0.2892,0.062
triviaqa/confidence/binary_entropy,FCC,high,0,-0.0021,-0.0344,0.062
triviaqa/confidence/binary_entropy,FCC,low,5,0.0042,-0.0752,0.042
triviaqa/confidence/binary_entropy,PANL,high,11,0.0083,-0.1981,0.083
triviaqa/confidence/binary_entropy,PANL,low,16,-0.0167,-0.0907,0.167
triviaqa/confidence/binary_entropy,PANL+1,high,0,-0.0062,-0.0907,0.104
triviaqa/confidence/binary_entropy,PANL+1,low,22,0.0042,-0.0307,0.042
triviaqa/commitment_challenge/correctness,CC,high,0,0.0,-0.0454,0.0
triviaqa/commitment_challenge/correctness,CC,low,22,0.0367,0.7037,0.042
triviaqa/commitment_challenge/correctness,FCC,high,0,0.0,-0.0324,0.0
triviaqa/commitment_challenge/correctness,FCC,low,0,0.0,-0.0145,0.0
triviaqa/commitment_challenge/correctness,PANL,high,0,0.0,0.0199,0.0
triviaqa/commitment_challenge/correctness,PANL,low,0,0.0183,-0.048,0.021
triviaqa/commitment_challenge/correctness,PANL+1,high,0,0.0,-0.0208,0.0
triviaqa/commitment_challenge/correctness,PANL+1,low,0,0.0,-0.0156,0.0
triviaqa/commitment_challenge/answer_logit,CC,high,0,0.0,0.0259,0.0
triviaqa/commitment_challenge/answer_logit,CC,low,27,0.0183,-0.1869,0.021
triviaqa/commitment_challenge/answer_logit,FCC,high,0,0.0,-0.0093,0.0
triviaqa/commitment_challenge/answer_logit,FCC,low,0,0.0,-0.0381,0.0
triviaqa/commitment_challenge/answer_logit,PANL,high,0,0.0,0.0013,0.0
triviaqa/commitment_challenge/answer_logit,PANL,low,0,0.0,-0.0108,0.0
