pattern,description,examples
"(?i)\bas an AI (language model|assistant)\b","Self-referential AI disclaimer","As an AI language model, I cannot browse the internet.;As an AI assistant, I don't have personal opinions."
"(?i)\bit'?s (important|worth|crucial) to (note|remember|mention|highlight) that\b","Hedging stock phrase introducing a caveat","It's important to note that results may vary.;It's worth mentioning that this is a simplified example."
"(?i)\bin (today'?s|this) (fast-paced|ever-evolving|rapidly changing|modern) world\b","Throat-clearing temporal framing opener","In today's fast-paced world, efficiency is key.;In this ever-evolving digital landscape, businesses must adapt."
"(?i)\bi hope (this|that) (helps|clarifies|answers your question)\b","Closing pleasantry after an answer","I hope this helps!;I hope that clarifies things for you."
"(?i)\blet'?s (dive|dig) (in|into|right in)\b","Enthusiastic transition into content","Let's dive into the details.;Let's dig right in and explore the options."
"(?i)\b(is|serves as|stands as) a testament to\b","Cliché evaluative closer praising significance","This achievement is a testament to her perseverance.;The bridge stands as a testament to human ingenuity."
"(?i)\bin (conclusion|summary),?\s","Formulaic conclusion opener","In conclusion, the results support our hypothesis.;In summary, we have covered three main strategies."
"(?i)^overall,\s","Recap-paragraph opener","Overall, this approach offers significant advantages.;Overall, the findings are consistent with prior work."
"(?i)^(certainly|absolutely)!?\s[A-Z]","Overeager affirmative paragraph opener","Certainly! Here are the steps you requested.;Absolutely, I'd be happy to help with that."
"(?i)\b(unlock|unleash) (the|your) (power|potential|full potential)\b","Marketing-style empowerment cliché","Unlock the power of AI.;Unleash your full potential with these tips."
"(?i)\b(navigate|navigating) (the|this) (complex(ities)?|challenges?|landscape)\b","Metaphorical 'navigate' for dealing with difficulty","Navigating the complexities of modern finance requires care.;Businesses must navigate this challenging landscape."
"(?i)\b(delve|delves|delving) into\b","Overused verb 'delve'","Let's delve into the details of this topic.;This paper delves into the history of the region."
"(?i)\b(boast|boasts|boasting)\b","Overused verb 'boast' for features","The device boasts an impressive battery life.;This model boasts several new features."
"(?i)\b(leverage|leverages|leveraging|utilize|utilizes|utilizing|harness|harnesses|harnessing)\b","Overused corporate-jargon verbs","We can leverage this data to improve outcomes.;The company is utilizing AI to streamline operations.;They harness renewable energy sources."
"(?i)\b(showcase|showcases|showcasing)\b","Overused verb 'showcase'","This project showcases our team's creativity.;The gallery is showcasing local artists this month."
"(?i)\b(underscore|underscores|underscoring|underpin|underpins|underpinning)\b","Overused verb 'underscore/underpin' for emphasis","These findings underscore the importance of early intervention.;This principle underpins the entire framework."
"(?i)\btapestry\b","Overused metaphor 'tapestry'","A rich tapestry of cultures and traditions.;The novel weaves a tapestry of interconnected stories."
"(?i)\bvibrant\b","Overused adjective 'vibrant'","The city has a vibrant nightlife.;A vibrant community of developers supports the project."
"(?i)\brobust\b","Overused adjective 'robust'","The system offers a robust set of features.;They built a robust testing framework."
"(?i)\bintricate\b","Overused adjective 'intricate'","The watch has an intricate mechanical design.;An intricate web of relationships connects the characters."
"(?i)\bseamless(ly)?\b","Overused adjective 'seamless'","The app offers a seamless user experience.;Data flows seamlessly between the two systems."
"(?i)\blandscape\b(?!\s*(painting|photo|architect|gardening))","Metaphorical use of 'landscape' for a field/domain","The competitive landscape is shifting rapidly.;This changes the regulatory landscape significantly."
"(?i)\brealm\b","Metaphorical use of 'realm' for a domain","In the realm of artificial intelligence, progress is rapid.;This falls within the realm of possibility."
"(?i)\belevate(s|d)?\b","Metaphorical use of 'elevate' for improve","This tool will elevate your workflow.;The new design elevates the brand's image."
"(?i)\bfoster(s|ing|ed)?\b","Overused verb 'foster' for encourage","The program fosters collaboration among teams.;This environment fosters creativity."
"(?i)\bmultifaceted\b","Overused adjective 'multifaceted'","This is a multifaceted issue with no easy solution.;Her career has been multifaceted and varied."
"(?i)\bpivotal\b","Overused adjective 'pivotal'","This was a pivotal moment in history.;She played a pivotal role in the negotiations."
"(?i)\bmeticulous(ly)?\b","Overused adjective 'meticulous'","The report was compiled with meticulous attention to detail.;He meticulously documented every step."
